Player Name,Base Price,Type,Cost in Rs. (CR),Cost in $ (K),2023 Squad
Kuldeep Yadav,Retained,BOWLER,0,0,DC
Kamlesh Nagarkoti,Retained,ALL-ROUNDER,0,0,DC
Mitchell Marsh,Retained,ALL-ROUNDER,0,0,DC
Shakib Al Hasan,1500000,ALL-ROUNDER,1.5,180,KKR
David Wiese,10000000,ALL-ROUNDER,1,120,KKR
N. Jagadeesan,2000000,WICKETKEEPER,0.9,108,KKR
Vaibhav Arora,2000000,BOWLER,0.6,72,KKR
Litton Das,5000000,WICKETKEEPER,0.5,60,KKR
Mandeep Singh,5000000,BATSMAN,0.5,60,KKR
Kulwant Khejroliya,2000000,BOWLER,0.2,24,KKR
Suyash Sharma,2000000,BOWLER,0.2,24,KKR
Sunil Narine,Retained,BOWLER,0,0,KKR
Shreyas Iyer,Retained,BATSMAN,0,0,KKR
Tim Southee,Retained,BOWLER,0,0,KKR
Umesh Yadav,Retained,BOWLER,0,0,KKR
Varun Chakaravarthy,Retained,BOWLER,0,0,KKR
Shardul Thakur (T),Retained,BOWLER,0,0,KKR
Venkatesh Iyer,Retained,ALL-ROUNDER,0,0,KKR
Harshit Rana,Retained,BOWLER,0,0,KKR
Anukul Roy,Retained,ALL-ROUNDER,0,0,KKR
Andre Russell,Retained,ALL-ROUNDER,0,0,KKR
Lockie Ferguson (T),Retained,BOWLER,0,0,KKR
Nitish Rana,Retained,ALL-ROUNDER,0,0,KKR
Rahmanullah Gurbaz (T),Retained,WICKETKEEPER,0,0,KKR
Rinku Singh,Retained,BATSMAN,0,0,KKR
Sam Curran,20000000,ALL-ROUNDER,18.5,2220,PBKS
Sikandar Raza,5000000,ALL-ROUNDER,0.5,60,PBKS
Harpreet Bhatia,2000000,BATSMAN,0.4,48,PBKS
Mohit Rathee,2000000,ALL-ROUNDER,0.2,24,PBKS
Vidwath Kaverappa,2000000,BOWLER,0.2,24,PBKS
Shivam Singh,5000000,WICKETKEEPER,0.2,24,PBKS
Liam Livingstone,Retained,ALL-ROUNDER,0,0,PBKS
Baltej Singh Dhanda,Retained,BOWLER,0,0,PBKS
Atharva Taide,Retained,ALL-ROUNDER,0,0,PBKS
Bhanuka Rajapakse,Retained,BATSMAN,0,0,PBKS
Jitesh Sharma,Retained,WICKETKEEPER,0,0,PBKS
Nathan Ellis,Retained,BOWLER,0,0,PBKS
Jonny Bairstow,Retained,WICKETKEEPER,0,0,PBKS
Kagiso Rabada,Retained,BOWLER,0,0,PBKS
Harpreet Brar,Retained,ALL-ROUNDER,0,0,PBKS
Shahrukh Khan,Retained,ALL-ROUNDER,0,0,PBKS
Shikhar Dhawan,Retained,BATSMAN,0,0,PBKS
Rahul Chahar,Retained,BOWLER,0,0,PBKS
Arshdeep Singh,Retained,BOWLER,0,0,PBKS
Prabhsimran Singh,Retained,WICKETKEEPER,0,0,PBKS
Raj Angad Bawa,Retained,ALL-ROUNDER,0,0,PBKS
Rishi Dhawan,Retained,ALL-ROUNDER,0,0,PBKS
Nicholas Pooran,20000000,WICKETKEEPER,16,1920,LSG
Daniel Sams,7500000,ALL-ROUNDER,0.75,90,LSG
Jaydev Unadkat,5000000,BOWLER,0.5,60,LSG
Naveen Ul Haq,5000000,BOWLER,0.5,60,LSG
Amit Mishra,5000000,BOWLER,0.5,60,LSG
Romario Shepherd,5000000,ALL-ROUNDER,0.5,60,LSG
Yash Thakur,2000000,BOWLER,0.45,54,LSG
Swapnil Singh,2000000,ALL-ROUNDER,0.2,24,LSG
Yudhvir Charak,2000000,ALL-ROUNDER,0.2,24,LSG
Prerak Mankad,2000000,ALL-ROUNDER,0.2,24,LSG
Mark Wood,Retained,BOWLER,0,0,LSG
Marcus Stoinis,Retained,ALL-ROUNDER,0,0,LSG
Mayank Yadav,Retained,BOWLER,0,0,LSG
Mohsin Khan,Retained,BOWLER,0,0,LSG
Quinton De Kock,Retained,WICKETKEEPER,0,0,LSG
Manan Vohra,Retained,BATSMAN,0,0,LSG
Ravi Bishnoi,Retained,BOWLER,0,0,LSG
Deepak Hooda,Retained,ALL-ROUNDER,0,0,LSG
Ayush Badoni,Retained,ALL-ROUNDER,0,0,LSG
Avesh Khan,Retained,BOWLER,0,0,LSG
K. Gowtham,Retained,ALL-ROUNDER,0,0,LSG
Karan Sharma,Retained,ALL-ROUNDER,0,0,LSG
Krunal Pandya,Retained,ALL-ROUNDER,0,0,LSG
KL Rahul,Retained,BATSMAN,0,0,LSG
Kyle Mayers,Retained,ALL-ROUNDER,0,0,LSG
Cameron Green,20000000,ALL-ROUNDER,17.5,2100,MI
Jhye Richardson,1500000,BOWLER,1.5,180,MI
Piyush Chawla,5000000,BOWLER,0.5,60,MI
Raghav Goyal,2000000,BOWLER,0.2,24,MI
Shams Mulani,2000000,ALL-ROUNDER,0.2,24,MI
Nehal Wadhera,2000000,ALL-ROUNDER,0.2,24,MI
Vishnu Vinod,2000000,WICKETKEEPER,0.2,24,MI
Duan Jansen,2000000,ALL-ROUNDER,0.2,24,MI
Ramandeep Singh,Retained,ALL-ROUNDER,0,0,MI
N. Tilak Varma,Retained,ALL-ROUNDER,0,0,MI
Mohd. Arshad Khan,Retained,ALL-ROUNDER,0,0,MI
Rohit Sharma,Retained,BATSMAN,0,0,MI
Suryakumar Yadav,Retained,BATSMAN,0,0,MI
Kumar Kartikeya Singh,Retained,ALL-ROUNDER,0,0,MI
Tristan Stubbs*,Retained,WICKETKEEPER,0,0,MI
Tim David,Retained,ALL-ROUNDER,0,0,MI
Hrithik Shokeen,Retained,ALL-ROUNDER,0,0,MI
Arjun Tendulkar,Retained,ALL-ROUNDER,0,0,MI
Akash Madhwal,Retained,BOWLER,0,0,MI
Dewald Brevis,Retained,BATSMAN,0,0,MI
Ishan Kishan,Retained,WICKETKEEPER,0,0,MI
Jasprit Bumrah,Retained,BOWLER,0,0,MI
Jason Behrendorff (T),Retained,BOWLER,0,0,MI
Jofra Archer,Retained,ALL-ROUNDER,0,0,MI
Will Jacks,1500000,BATSMAN,3.2,384,RCB
Reece Topley,7500000,BOWLER,1.9,228,RCB
Rajan Kumar,2000000,BOWLER,0.7,84,RCB
Avinash Singh,2000000,BOWLER,0.6,72,RCB
Manoj Bhandage,2000000,ALL-ROUNDER,0.2,24,RCB
Sonu Yadav,2000000,ALL-ROUNDER,0.2,24,RCB
Himanshu Sharma,2000000,BOWLER,0.2,24,RCB
Rajat Patidar,Retained,BATSMAN,0,0,RCB
Mahipal Lomror,Retained,BOWLER,0,0,RCB
Shahbaz Ahamad,Retained,ALL-ROUNDER,0,0,RCB
Mohammed Siraj,Retained,BOWLER,0,0,RCB
Wanindu Hasaranga,Retained,ALL-ROUNDER,0,0,RCB
Karn Sharma,Retained,BOWLER,0,0,RCB
Virat Kohli,Retained,BATSMAN,0,0,RCB
Suyash Prabhudessai,Retained,ALL-ROUNDER,0,0,RCB
Siddharth Kaul,Retained,BOWLER,0,0,RCB
Finn Allen,Retained,BATSMAN,0,0,RCB
David Willey,Retained,ALL-ROUNDER,0,0,RCB
Anuj Rawat,Retained,WICKETKEEPER,0,0,RCB
Akash Deep,Retained,BOWLER,0,0,RCB
Dinesh Karthik,Retained,WICKETKEEPER,0,0,RCB
Faf Du Plessis,Retained,BATSMAN,0,0,RCB
Harshal Patel,Retained,ALL-ROUNDER,0,0,RCB
Glenn Maxwell,Retained,ALL-ROUNDER,0,0,RCB
Josh Hazlewood,Retained,BOWLER,0,0,RCB
Jason Holder,20000000,ALL-ROUNDER,5.75,690,RR
Adam Zampa,1500000,BOWLER,1.5,180,RR
Joe Root,10000000,BATSMAN,1,120,RR
Donovan Ferreira,2000000,WICKETKEEPER,0.5,60,RR
K.M. Asif,3000000,BOWLER,0.3,36,RR
Kunal Rathore,2000000,WICKETKEEPER,0.2,24,RR
Abdul P A,2000000,ALL-ROUNDER,0.2,24,RR
Akash Vashisht,2000000,ALL-ROUNDER,0.2,24,RR
Murugan Ashwin,2000000,BOWLER,0.2,24,RR
Sanju Samson,Retained,WICKETKEEPER,0,0,RR
Riyan Parag,Retained,ALL-ROUNDER,0,0,RR
R. Ashwin,Retained,ALL-ROUNDER,0,0,RR
Shimron Hetmyer,Retained,BATSMAN,0,0,RR
Trent Boult,Retained,BOWLER,0,0,RR
Prasidh Krishna,Retained,BOWLER,0,0,RR
Yuzvendra Chahal,Retained,BOWLER,0,0,RR
Yashasvi Jaiswal,Retained,BATSMAN,0,0,RR
K.C Cariappa,Retained,BOWLER,0,0,RR
Dhruv Jurel,Retained,WICKETKEEPER,0,0,RR
Devdutt Padikkal,Retained,BATSMAN,0,0,RR
Jos Buttler,Retained,WICKETKEEPER,0,0,RR
Kuldeep Sen,Retained,BOWLER,0,0,RR
Navdeep Saini,Retained,BOWLER,0,0,RR
Kuldip Yadav,Retained,BOWLER,0,0,RR
Obed Mccoy,Retained,BOWLER,0,0,RR
Harry Brook,15000000,BATSMAN,13.25,1590,SRH
Mayank Agarwal,10000000,BATSMAN,8.25,990,SRH
Heinrich Klaasen,10000000,WICKETKEEPER,5.25,630,SRH
Vivrant Sharma,2000000,ALL-ROUNDER,2.6,312,SRH
Adil Rashid,20000000,BOWLER,2,240,SRH
Mayank Dagar,2000000,ALL-ROUNDER,1.8,216,SRH
Akeal Hosein,10000000,BOWLER,1,120,SRH
Mayank Markande,5000000,BOWLER,0.5,60,SRH
Upendra Singh Yadav,2000000,WICKETKEEPER,0.25,30,SRH
Nitish Kumar Reddy,2000000,WICKETKEEPER,0.2,24,SRH
Samarth Vyas,2000000,ALL-ROUNDER,0.2,24,SRH
Anmolpreet Singh,2000000,BATSMAN,0.2,24,SRH
Sanvir Singh,2000000,ALL-ROUNDER,0.2,24,SRH
Marco Jansen,Retained,ALL-ROUNDER,0,0,SRH
Rahul Tripathi,Retained,BATSMAN,0,0,SRH
Umran Malik,Retained,BOWLER,0,0,SRH
Washington Sundar,Retained,ALL-ROUNDER,0,0,SRH
Kartik Tyagi,Retained,BOWLER,0,0,SRH
T. Natarajan,Retained,BOWLER,0,0,SRH
Fazalhaq Farooqi,Retained,BOWLER,0,0,SRH
Abdul Samad,Retained,BATSMAN,0,0,SRH
Abhishek Sharma,Retained,ALL-ROUNDER,0,0,SRH
Aiden Markram,Retained,BATSMAN,0,0,SRH
Bhuvneshwar Kumar,Retained,BOWLER,0,0,SRH
Glenn Phillips,Retained,WICKETKEEPER,0,0,SRH
